person_age,monthly_salary,person_income,loan_amnt,loan_tenure_months,loan_category,bank_roi,cibil_score,monthly_emi,emi_to_salary_ratio,savings_to_expense_ratio,night_transaction_ratio,cb_person_default_on_file,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_int_rate,loan_percent_income,cb_person_default_on_file_yn,cb_person_cred_hist_length,loan_status
24,17232.23,206786.76,256462.16,24,Personal,11.47,687,12009.3,0.696909,0.281714,0.228161,0,RENT,2.76,PERSONAL,C,11.47,1.0,N,9.49,0
51,40667.6,488011.2,368392.41,48,Home,11.66,662,9640.11,0.237046,0.172996,0.044244,0,RENT,14.13,HOMEIMPROVEMENT,D,11.66,0.754885,N,34.92,0
47,18051.06,216612.72,217108.36,36,Education,8.5,788,6853.58,0.379677,0.295199,0.043081,0,RENT,3.7,EDUCATION,B,8.5,1.0,N,30.42,0
38,175417.35,2105008.2,2749568.98,60,Personal,10.04,900,58468.52,0.333311,0.084036,0.033359,0,OWN,1.64,PERSONAL,A,10.04,1.0,N,20.36,0
38,58541.71,702500.52,411521.81,48,Home,9.12,708,10264.16,0.175331,0.25357,0.058225,0,RENT,3.99,HOMEIMPROVEMENT,C,9.12,0.585796,N,20.98,0
55,55575.49,666905.88,636502.14,24,Home,8.5,645,28932.63,0.520601,0.235881,0.112119,0,RENT,2.62,HOMEIMPROVEMENT,D,8.5,0.954411,N,37.46,1
24,59233.59,710803.08,677145.85,24,Home,10.55,673,31418.33,0.530414,0.298249,0.190559,0,RENT,4.84,HOMEIMPROVEMENT,C,10.55,0.952649,N,7.58,0
48,74066.04,888792.48,754836.06,60,Home,9.25,794,15759.75,0.21278,0.135663,0.146529,0,MORTGAGE,3.53,HOMEIMPROVEMENT,B,9.25,0.849283,N,29.91,0
29,92678.6,1112143.2,1109895.45,24,Auto,12.53,684,52522.45,0.566716,0.177691,0.178699,0,MORTGAGE,11.0,VENTURE,C,12.53,0.997979,N,9.33,1
24,20168.31,242019.72,383045.01,36,Auto,11.75,646,12676.19,0.62852,0.152249,0.162168,0,RENT,3.69,VENTURE,D,11.75,1.0,N,6.7,1
42,113108.92,1357307.04,2452637.15,36,Home,9.8,684,78913.23,0.697675,0.32411,0.195032,0,MORTGAGE,5.06,HOMEIMPROVEMENT,C,9.8,1.0,N,26.36,1
60,108824.87,1305898.44,1092636.15,12,Personal,11.01,785,96571.62,0.887404,0.123125,0.252527,0,RENT,2.01,PERSONAL,B,11.01,0.836693,N,42.39,1
50,49522.98,594275.76,636703.24,12,Personal,14.63,556,57357.09,1.158191,0.092242,0.126806,0,RENT,14.25,PERSONAL,F,14.63,1.0,N,34.2,0
51,47990.71,575888.52,320197.96,36,Education,11.94,731,10625.73,0.221412,0.229134,0.051184,0,RENT,2.37,EDUCATION,C,11.94,0.556007,N,31.85,0
49,15000.0,180000.0,354139.53,36,Home,12.38,766,11827.64,0.78851,0.102773,0.141251,0,MORTGAGE,3.9,HOMEIMPROVEMENT,B,12.38,1.0,N,29.9,1
52,24430.93,293171.16,636234.15,9,Personal,12.12,664,74311.34,3.041691,0.081988,0.127194,0,RENT,6.83,PERSONAL,D,12.12,1.0,N,35.22,1
41,70355.03,844260.36,1113234.18,36,Auto,10.43,658,36145.08,0.513753,0.056413,0.093668,0,OWN,1.94,VENTURE,D,10.43,1.0,N,23.92,0
26,105912.7,1270952.4,1893831.57,9,Home,9.35,593,218707.69,2.064981,0.05,0.188752,0,OWN,3.14,HOMEIMPROVEMENT,E,9.35,1.0,N,8.36,0
54,79801.86,957622.32,929949.95,48,Home,13.57,630,25214.21,0.31596,0.076831,0.048382,0,RENT,1.83,HOMEIMPROVEMENT,D,13.57,0.971103,N,34.8,0
39,49245.39,590944.68,865585.64,12,Personal,15.88,759,78487.73,1.593809,0.267061,0.149157,1,RENT,17.05,PERSONAL,B,15.88,1.0,Y,22.05,1
41,163656.27,1963875.24,3506396.53,36,Business,13.19,628,118468.59,0.723887,0.05,0.116006,0,RENT,0.45,VENTURE,D,13.19,1.0,N,22.5,0
35,94193.39,1130320.68,1315784.24,36,Education,8.5,594,41536.07,0.440966,0.258833,0.05816,1,MORTGAGE,2.26,EDUCATION,E,8.5,1.0,Y,16.34,0
28,40688.64,488263.68,622421.96,24,Education,11.28,705,29090.82,0.714962,0.175288,0.216691,0,OWN,10.0,EDUCATION,C,11.28,1.0,N,12.41,0
58,190854.45,2290253.4,3687089.61,24,Personal,13.11,623,175487.74,0.919485,0.197557,0.201413,0,MORTGAGE,8.01,PERSONAL,D,13.11,1.0,N,39.9,0
52,26696.82,320361.84,245171.09,36,Home,12.07,686,8151.43,0.305333,0.206584,0.026785,0,MORTGAGE,5.71,HOMEIMPROVEMENT,C,12.07,0.765294,N,32.57,1
46,21309.24,255710.88,341599.02,48,Business,10.64,637,8768.52,0.411489,0.145461,0.063996,0,MORTGAGE,6.27,VENTURE,D,10.64,1.0,N,25.6,1
37,40028.09,480337.08,640337.26,36,Business,13.47,685,21720.32,0.542627,0.138902,0.166295,1,RENT,9.07,VENTURE,C,13.47,1.0,Y,18.87,1
53,32689.72,392276.64,477818.71,24,Personal,18.0,728,23854.67,0.72973,0.270938,0.264809,0,RENT,3.44,PERSONAL,C,18.0,1.0,N,34.29,0
42,41400.2,496802.4,860040.56,24,Personal,10.26,688,39790.91,0.961128,0.132294,0.123523,0,RENT,6.41,PERSONAL,C,10.26,1.0,N,24.93,0
38,83187.67,998252.04,806339.8,36,Home,11.59,834,26622.75,0.320032,0.087981,0.088829,0,RENT,2.6,HOMEIMPROVEMENT,A,11.59,0.807752,N,20.42,0
39,50494.12,605929.44,235327.67,36,Personal,13.83,813,8023.68,0.158903,0.082351,0.03612,0,OWN,3.39,PERSONAL,A,13.83,0.388375,N,20.97,0
30,51278.25,615339.0,971006.08,60,Personal,10.47,576,20855.02,0.406703,0.183998,0.03023,0,RENT,12.0,PERSONAL,E,10.47,1.0,N,11.81,0
24,53385.2,640622.4,769597.37,36,Home,11.62,642,25420.6,0.476173,0.331515,0.250098,0,MORTGAGE,3.41,HOMEIMPROVEMENT,D,11.62,1.0,N,6.12,0
43,15000.0,180000.0,222283.31,24,Personal,12.47,606,10512.56,0.700837,0.05,0.118319,0,OWN,1.39,PERSONAL,E,12.47,1.0,N,26.42,0
56,20761.25,249135.0,435168.74,60,Auto,12.48,874,9786.14,0.471365,0.248405,0.20116,0,OTHER,2.77,VENTURE,A,12.48,1.0,N,36.93,1
23,40897.05,490764.6,732786.61,60,Personal,12.17,663,16364.58,0.400141,0.12057,0.073887,0,OWN,5.0,PERSONAL,D,12.17,1.0,N,6.21,0
55,31077.6,372931.2,427597.08,24,Personal,13.09,639,20347.16,0.654721,0.255747,0.155133,0,OWN,20.42,PERSONAL,D,13.09,1.0,N,36.02,1
54,44843.21,538118.52,317856.77,36,Education,11.52,817,10483.94,0.233791,0.077907,0.070108,0,OTHER,4.42,EDUCATION,A,11.52,0.590682,N,34.58,0
32,119668.06,1436016.72,2674255.66,9,Home,9.85,649,309471.0,2.586079,0.05,0.160074,0,OTHER,7.36,HOMEIMPROVEMENT,D,9.85,1.0,N,15.02,1
46,49282.79,591393.48,936550.54,60,Business,12.27,900,20962.87,0.425359,0.181285,0.044019,0,OWN,7.34,VENTURE,A,12.27,1.0,N,27.87,1
27,23311.43,279737.16,138671.26,60,Personal,12.35,758,3109.22,0.133378,0.251811,0.105274,0,OWN,1.43,PERSONAL,B,12.35,0.49572,N,8.21,0
51,32020.77,384249.24,232558.52,24,Auto,10.64,762,10800.13,0.337285,0.338027,0.16085,0,RENT,2.82,VENTURE,B,10.64,0.605228,N,31.98,0
49,143823.99,1725887.88,1235530.09,9,Home,9.69,476,142883.86,0.993463,0.069245,0.12244,0,MORTGAGE,4.38,HOMEIMPROVEMENT,G,9.69,0.715881,N,31.81,1
35,129249.04,1550988.48,2177145.9,12,Business,10.18,577,191583.01,1.482278,0.05,0.252009,0,RENT,1.01,VENTURE,E,10.18,1.0,N,17.29,0
23,73682.93,884195.16,683566.02,60,Personal,11.19,812,14925.88,0.202569,0.236075,0.214395,0,MORTGAGE,2.65,PERSONAL,A,11.19,0.773094,N,6.7,0
59,20181.27,242175.24,481288.98,36,Home,8.5,665,15193.11,0.752832,0.072694,0.185063,1,RENT,3.24,HOMEIMPROVEMENT,D,8.5,1.0,Y,40.87,1
38,61950.0,743400.0,523105.91,36,Personal,14.38,691,17975.19,0.290156,0.215613,0.076378,0,OWN,2.99,PERSONAL,C,14.38,0.703667,N,18.19,0
56,64875.04,778500.48,1272584.04,48,Education,11.74,716,33351.06,0.514081,0.289608,0.086725,0,RENT,2.77,EDUCATION,C,11.74,1.0,N,38.89,0
48,52329.95,627959.4,214348.98,36,Personal,13.39,707,7262.66,0.138786,0.208832,0.001253,1,RENT,3.35,PERSONAL,C,13.39,0.341342,Y,34.41,1
52,36606.95,439283.4,428076.89,48,Home,9.39,742,10733.12,0.293199,0.191798,0.096143,0,MORTGAGE,3.06,HOMEIMPROVEMENT,B,9.39,0.974489,N,35.09,0
51,41457.39,497488.68,317682.52,48,Auto,9.67,757,8007.05,0.193139,0.23104,0.053539,0,RENT,2.28,VENTURE,B,9.67,0.638572,N,32.47,0
28,35107.53,421290.36,147858.02,24,Personal,11.66,672,6936.79,0.197587,0.179701,0.11957,0,RENT,1.58,PERSONAL,C,11.66,0.350965,N,9.31,0
35,25924.81,311097.72,426926.6,36,Personal,11.12,612,14002.18,0.540108,0.167206,0.09684,0,OWN,2.82,PERSONAL,E,11.12,1.0,N,16.6,1
39,116960.63,1403527.56,2413909.92,36,Home,8.5,739,76201.19,0.651511,0.165479,0.14885,0,MORTGAGE,6.54,HOMEIMPROVEMENT,C,8.5,1.0,N,24.06,0
40,87499.49,1049993.88,466534.25,36,Home,10.23,662,15104.71,0.172626,0.312675,0.029012,0,OWN,1.8,HOMEIMPROVEMENT,D,10.23,0.444321,N,21.19,0
22,43435.93,521231.16,1043938.61,24,Personal,11.32,679,48809.49,1.123712,0.088345,0.261241,1,MORTGAGE,3.38,PERSONAL,C,11.32,1.0,Y,4.2,1
42,63659.7,763916.4,702557.1,24,Personal,12.57,734,33259.21,0.522453,0.263365,0.120749,0,OWN,7.71,PERSONAL,C,12.57,0.919678,N,25.67,1
27,65109.16,781309.92,1037826.5,60,Education,9.12,782,21603.31,0.331801,0.237998,0.126097,0,RENT,4.18,EDUCATION,B,9.12,1.0,N,10.93,0
50,210182.22,2522186.64,2989893.59,48,Auto,8.8,757,74120.34,0.352648,0.201254,0.006453,0,MORTGAGE,7.49,VENTURE,B,8.8,1.0,N,31.45,0
48,86989.37,1043872.44,1475144.96,60,Auto,11.26,837,32267.62,0.370937,0.083154,0.037597,0,OTHER,1.31,VENTURE,A,11.26,1.0,N,30.12,1
57,85038.7,1020464.4,771733.85,12,Home,8.5,685,67310.46,0.791527,0.354196,0.124493,0,MORTGAGE,4.82,HOMEIMPROVEMENT,C,8.5,0.756257,N,40.91,1
50,52722.03,632664.36,455619.83,36,Home,12.26,619,15190.68,0.288128,0.252073,0.060682,0,MORTGAGE,11.45,HOMEIMPROVEMENT,E,12.26,0.72016,N,34.74,0
35,39709.5,476514.0,499380.92,48,Auto,11.49,734,13025.98,0.328032,0.092284,0.037679,0,MORTGAGE,5.11,VENTURE,C,11.49,1.0,N,17.33,0
59,118140.06,1417680.72,2887666.02,48,Business,11.88,665,75872.35,0.642224,0.177917,0.131477,0,MORTGAGE,12.42,VENTURE,D,11.88,1.0,N,40.86,0
37,76218.79,914625.48,1563490.85,36,Personal,12.19,625,52075.48,0.683237,0.05,0.133336,0,RENT,3.31,PERSONAL,D,12.19,1.0,N,19.91,0
34,31328.23,375938.76,742302.75,24,Auto,13.72,743,35541.92,1.134502,0.179451,0.214164,0,RENT,2.92,VENTURE,B,13.72,1.0,N,15.91,0
57,67664.7,811976.4,410873.33,36,Auto,11.01,543,13452.52,0.198812,0.085943,0.201688,0,RENT,5.67,VENTURE,F,11.01,0.506016,N,36.45,0
35,85172.31,1022067.72,1491623.39,48,Auto,11.38,687,38824.75,0.455838,0.268982,0.059427,0,MORTGAGE,7.61,VENTURE,C,11.38,1.0,N,15.84,0
24,15000.0,180000.0,298837.29,48,Personal,11.16,632,7747.0,0.516467,0.186224,0.137852,0,RENT,3.1,PERSONAL,D,11.16,1.0,N,7.19,1
39,29630.75,355569.0,425994.97,12,Education,13.41,602,38129.98,1.286838,0.166896,0.133692,0,MORTGAGE,3.59,EDUCATION,E,13.41,1.0,N,21.39,0
